Country,Level,Branch,Department,Name,State,Issues,URL,Table No,Table Rows,Link Column,Party Column,Term Start Column,Term End Column,District,Dynamic Parse,Read columns right to left,Find Date,Parse Rowspan,Rep Link,Party Link,Notes,Alt Link
United States of America,Federal,Executive,Department of Agriculture,Secretary of Agriculture,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Agriculture,3,4,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Commerce,Secretary of Commerce,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Commerce,2,4,2,0,4,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Commerce and Labor,Secretary of Commerce and Labor,,,https://en.wikipedia.org/wiki/United_States_Department_of_Commerce_and_Labor,3,4,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Defense,Secretary of Defense,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Defense,2,4,3,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Defense,Secretary of War,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_War,3,4,3,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Defense,Secretary of the Navy,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_the_Navy,3,4,3,0,5,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Education,Secretary of Education,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Education,2,4,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Energy,Secretary of Energy,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Energy,2,4,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Health and Human Services,Secretary of Health and Human Services,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Health_and_Human_Services,2,4,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Includes both HEW and HHS,
United States of America,Federal,Executive,Department of Homeland Security,Secretary of Homeland Security,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Homeland_Security,2,4,4,0,6,7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Housing and Urban Development,Secretary of Housing and Urban Development,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Housing_and_Urban_Development,2,4,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Justice,Attorney General,,,https://en.wikipedia.org/wiki/United_States_Attorney_General,2,4,2,0,5,6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Labor,Secretary of Labor,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_Labor,2,4,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of State,Secretary of State,,,https://en.wikipedia.org/wiki/List_of_secretaries_of_state_of_the_United_States,4,4,2,0,5,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of the Interior,Secretary of the Interior,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_the_Interior,3,4,2,0,4,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of the Treasury,Secretary of the Treasury,,,https://en.wikipedia.org/wiki/United_States_Secretary_of_the_Treasury,3,4,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,Department of Transportation,Secretary of Transportation,,Table is not consistent,https://en.wikipedia.org/wiki/United_States_Secretary_of_Transportation,2,3,2,0,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
